"category","sub_category","total_orders","revenue","profit","profit_margin"
"Office Supplies","Labels","364","12486.31","5546","44.42"
"Office Supplies","Paper","1370","78479.21","34054","43.39"
"Office Supplies","Envelopes","254","16476.40","6964","42.27"
"Technology","Copiers","68","149528.03","55618","37.20"
"Office Supplies","Fasteners","217","3024.28","950","31.40"
"Technology","Accessories","775","167380.32","41937","25.05"
"Office Supplies","Art","796","27118.79","6528","24.07"
"Office Supplies","Appliances","466","107532.16","18138","16.87"
"Office Supplies","Binders","1523","203412.73","30222","14.86"
"Furniture","Furnishings","957","91705.16","13059","14.24"
