"category","sub_category","total_revenue","categorized_revenue"
"Furniture","Chairs","328449.10","1"
"Technology","Phones","330007.05","1"
"Office Supplies","Storage","223843.61","1"
"Furniture","Tables","206965.53","2"
"Office Supplies","Binders","203412.73","2"
"Technology","Machines","189238.63","2"
"Technology","Accessories","167380.32","3"
"Office Supplies","Appliances","107532.16","3"
"Furniture","Bookcases","113616.04","3"
"Technology","Copiers","149528.03","4"
"Furniture","Furnishings","91705.16","4"
"Office Supplies","Paper","78479.21","4"
"Office Supplies","Supplies","46673.54","5"
"Office Supplies","Art","27118.79","6"
"Office Supplies","Envelopes","16476.40","7"
"Office Supplies","Labels","12486.31","8"
"Office Supplies","Fasteners","3024.28","9"
