"region","state","city","total_orders","profit","total_revenue"
"East","New York","New York City","848","41892.89","210926.99"
"West","Washington","Seattle","386","19979.91","108638.21"
"West","California","San Francisco","474","17141.80","107084.05"
"Central","Texas","Houston","379","13279.52","87156.52"
"East","Pennsylvania","Philadelphia","585","12376.65","130921.16"
"West","California","Los Angeles","728","11113.78","141770.81"
"West","California","San Diego","163","7572.96","39816.45"
"East","New York","Auburn","38","6983.93","16685.78"
"West","California","Concord","22","5757.41","14142.33"
"Central","Illinois","Chicago","310","5433.33","61351.29"
