"state","region","total_orders","revenue","profit","profit_margin"
"California","West","1998","451036.58","59398.31","13.17"
"New York","East","1110","279549.82","58177.83","20.81"
"Texas","Central","917","192758.20","20528.91","10.65"
"Pennsylvania","East","641","142838.55","13604.94","9.52"
"Washington","West","460","133177.25","24405.80","18.33"
"North Carolina","South","343","116635.46","-4236.67","-3.63"
"Illinois","Central","574","112819.77","9560.15","8.47"
"Arizona","West","301","81986.12","9563.20","11.66"
"Ohio","East","480","74771.33","5985.89","8.01"
"Michigan","Central","220","58076.86","7752.30","13.35"
