"region","year","total_revenue","prev_year_revenue","yoy_growth_pct"
"Central","2014","106767.93",NULL,NULL
"Central","2015","103610.95","106767.93","-2.96"
"Central","2016","134573.34","103610.95","29.88"
"Central","2017","173847.91","134573.34","29.18"
"East","2014","103371.85",NULL,NULL
"East","2015","133268.82","103371.85","28.92"
"East","2016","172612.23","133268.82","29.52"
"East","2017","202481.39","172612.23","17.30"
"South","2014","106921.59",NULL,NULL
"South","2015","80855.79","106921.59","-24.38"
"South","2016","97603.82","80855.79","20.71"
"South","2017","116650.78","97603.82","19.51"
"West","2014","167186.12",NULL,NULL
"West","2015","152796.94","167186.12","-8.61"
"West","2016","204416.21","152796.94","33.78"
"West","2017","240235.18","204416.21","17.52"
